subgroup,term,coef,p,significant
Ω,const,2.1353614880585505,1.0656159203584143e-11,yes
Ω,total_attended_labsessions,0.05602234021006891,0.0005125572263393442,yes
Ω,active_minutes,1.6289537617278843e-05,0.28918904222832137,no
Ω,nr_distinct_files_viewed,0.10530530708401671,9.015299381773892e-16,yes
Ω,total_course_activities,0.015247548516402972,2.8897516993815906e-10,yes
Ω,distinct_days,0.0013688304043622968,0.894364261541949,no
Ω,nr_files_viewed,-0.07860550372652994,5.3077131748142277e-14,yes
Ω,nr_practice_exams_viewed,0.06426463399989542,1.69250736072384e-05,yes
#1,const,2.376621210586205,0.015810509646521215,yes
#1,total_attended_labsessions,-0.08965345689835948,0.42621414900494625,no
#1,active_minutes,-1.2031615498118998e-05,0.8001761632009855,no
#1,nr_distinct_files_viewed,0.04040385012824092,0.46144493787678775,no
#1,total_course_activities,0.009357238645328622,0.2952040301517733,no
#1,distinct_days,0.025404243405437732,0.5891986914522049,no
#1,nr_files_viewed,-0.040769361331939084,0.29095127262115017,no
#1,nr_practice_exams_viewed,0.033723836319804044,0.6515351946941613,no
#2,const,5.946034626926609,2.6331379440794912e-11,yes
#2,total_attended_labsessions,0.031111781566402805,0.17884679856185806,no
#2,active_minutes,2.8086664577302615e-06,0.8865874890940431,no
#2,nr_distinct_files_viewed,0.05252231777447505,0.06867595069076382,yes
#2,total_course_activities,-0.0005522386865117216,0.8973771397407976,no
#2,distinct_days,0.04901541132780965,0.0015311557463220191,yes
#2,nr_files_viewed,-0.011449296769195226,0.522463223576398,no
#2,nr_practice_exams_viewed,0.010583076447498493,0.6292856332183381,no
#3,const,6.043296041152015,6.769562626976638e-15,yes
#3,total_attended_labsessions,0.039675520971319586,0.06854614978257932,yes
#3,active_minutes,9.764577716029072e-06,0.5978479280063002,no
#3,nr_distinct_files_viewed,0.05838825300400474,0.02354704322181834,yes
#3,total_course_activities,-0.0007040699441635927,0.8400372355204784,no
#3,distinct_days,0.04104390790297265,0.004093928446727314,yes
#3,nr_files_viewed,-0.011524193239870445,0.43970365569258274,no
#3,nr_practice_exams_viewed,0.013713720639956406,0.5122176607050068,no
#4,const,6.043296041152015,6.769562626976638e-15,yes
#4,total_attended_labsessions,0.039675520971319586,0.06854614978257932,yes
#4,active_minutes,9.764577716029072e-06,0.5978479280063002,no
#4,nr_distinct_files_viewed,0.05838825300400474,0.02354704322181834,yes
#4,total_course_activities,-0.0007040699441635927,0.8400372355204784,no
#4,distinct_days,0.04104390790297265,0.004093928446727314,yes
