subgroup,term,coef,p,significant
Ω,const,2.2340550469786273,1.339964585052822e-10,yes
Ω,total_attended_labsessions,0.057197302349793866,0.0011279893612655774,yes
Ω,active_minutes,1.3524030289669605e-05,0.416051064543669,no
Ω,nr_distinct_files_viewed,0.10349287510587499,1.5551463078880524e-13,yes
Ω,total_course_activities,0.01406123476935572,8.183746027910496e-08,yes
Ω,distinct_days,0.0077124270133150374,0.4889071915874953,no
Ω,nr_files_viewed,-0.0756905171300182,4.214812223015969e-11,yes
Ω,nr_practice_exams_viewed,0.0702634962655067,2.0702000722443013e-05,yes
#1,const,6.071988099019502,6.5574202861055e-10,yes
#1,total_attended_labsessions,0.044558586372946796,0.08237722287609665,yes
#1,active_minutes,2.5028456714967215e-06,0.9045978912006163,no
#1,nr_distinct_files_viewed,0.046316069897676504,0.13954715942679496,no
#1,total_course_activities,5.783505549721707e-05,0.9899816209897822,no
#1,distinct_days,0.0483047520958709,0.0035605584203422147,yes
#1,nr_files_viewed,-0.014245702861889902,0.45540646643581273,no
#1,nr_practice_exams_viewed,0.00471145277864439,0.8454430625251306,no
#2,const,6.158547041234379,1.907390425207476e-13,yes
#2,total_attended_labsessions,0.05171598036750144,0.03162201504154509,yes
#2,active_minutes,8.877861142552086e-06,0.6480674333059919,no
#2,nr_distinct_files_viewed,0.05287658990347063,0.05516328680622199,yes
#2,total_course_activities,-0.0002285393894075928,0.9505177369718683,no
#2,distinct_days,0.040906316953221646,0.007449548297866989,yes
#2,nr_files_viewed,-0.013788101459372384,0.3815981713231049,no
#2,nr_practice_exams_viewed,0.007706765560958312,0.7350949190751639,no
#3,const,6.158547041234379,1.907390425207476e-13,yes
#3,total_attended_labsessions,0.05171598036750144,0.03162201504154509,yes
#3,active_minutes,8.877861142552086e-06,0.6480674333059919,no
#3,nr_distinct_files_viewed,0.05287658990347063,0.05516328680622199,yes
#3,total_course_activities,-0.0002285393894075928,0.9505177369718683,no
#3,distinct_days,0.040906316953221646,0.007449548297866989,yes
#3,nr_files_viewed,-0.013788101459372384,0.3815981713231049,no
#3,nr_practice_exams_viewed,0.007706765560958312,0.7350949190751639,no
#4,const,6.849052374269636,1.7847602985436312e-17,yes
#4,total_attended_labsessions,0.036328436918837664,0.09238122016191544,yes
#4,active_minutes,9.10580435386623e-06,0.6443116343662554,no
#4,nr_distinct_files_viewed,0.030783195634981664,0.20858738814110866,no
#4,total_course_activities,-0.0003343353778673813,0.9354591438403422,no
#4,distinct_days,0.029378200352871336,0.036435688082461254,yes
#4,nr_files_viewed,-0.008716425230196334,0.609964467182287,no
#4,nr_practice_exams_viewed,0.010231126316667283,0.6379906414043066,no
#5,const,6.849052374269636,1.7847602985436312e-17,yes
#5,total_attended_labsessions,0.036328436918837664,0.09238122016191544,yes
#5,active_minutes,9.10580435386623e-06,0.6443116343662554,no
#5,nr_distinct_files_viewed,0.030783195634981664,0.20858738814110866,no
#5,total_course_activities,-0.0003343353778673813,0.9354591438403422,no
#5,distinct_days,0.029378200352871336,0.036435688082461254,yes
#5,nr_files_viewed,-0.008716425230196334,0.609964467182287,no
#5,nr_practice_exams_viewed,0.010231126316667283,0.6379906414043066,no
#6,const,6.790035376142603,6.618138302579692e-23,yes
#6,total_attended_labsessions,0.037414974953921695,0.049676801587907535,yes
#6,active_minutes,1.7184540135646364e-05,0.3338441537056138,no
