subgroup,term,coef,p,significant
Ω,const,4.841318970177844,7.452957096979533e-109,yes
Ω,nr_distinct_files_viewed,0.03241992024906818,1.0202420200813874e-09,yes
Ω,total_course_activities,0.0018755266521631344,0.0864993174330564,yes
Ω,nightly_activities,0.0004958318089843504,0.5982823223122811,no
Ω,distinct_days,0.0014235282095767608,0.880559666084001,no
Ω,logged_in_weekly,-0.22349792760116477,0.060889490388833144,yes
Ω,nr_files_viewed,-0.0019648913296290327,0.6866818092664557,no
Ω,nr_slides_viewed,-0.01232727335603269,0.0005582022777725765,yes
#1,const,6.2126874916390085,1.7507903722380662e-11,yes
#1,nr_distinct_files_viewed,0.03888095701575754,0.17366164326145234,no
#1,total_course_activities,0.020653423376313453,0.002598720855997972,yes
#1,nightly_activities,-0.0038314367445980643,0.39104558870693507,no
#1,distinct_days,-0.09934297614565568,0.01999338567670419,yes
#1,logged_in_weekly,0.13763555530069316,0.7557673434693452,no
#1,nr_files_viewed,-0.06842111334968279,0.0278237226235983,yes
#1,nr_slides_viewed,-0.05356510619770599,0.11906700646681337,no
#2,const,6.2126874916390085,1.7507903722380662e-11,yes
#2,nr_distinct_files_viewed,0.03888095701575754,0.17366164326145234,no
#2,total_course_activities,0.020653423376313453,0.002598720855997972,yes
#2,nightly_activities,-0.0038314367445980643,0.39104558870693507,no
#2,distinct_days,-0.09934297614565568,0.01999338567670419,yes
#2,logged_in_weekly,0.13763555530069316,0.7557673434693452,no
#2,nr_files_viewed,-0.06842111334968279,0.0278237226235983,yes
#2,nr_slides_viewed,-0.05356510619770599,0.11906700646681337,no
#3,const,5.932448835458025,3.375798222025097e-11,yes
#3,nr_distinct_files_viewed,0.07392260823480341,0.0031930167221080334,yes
#3,total_course_activities,0.02941802016691028,4.0275038232500936e-05,yes
#3,nightly_activities,-0.004926133126791257,0.2622195399523236,no
#3,distinct_days,-0.09407465350826469,0.025030214459837653,yes
#3,logged_in_weekly,-0.07798912840526079,0.8450262707364661,no
#3,nr_files_viewed,-0.11289231632258466,0.000278313617775433,yes
#3,nr_slides_viewed,-0.012555018324613657,0.45660224201055755,no
#4,const,6.979408939658493,9.617935180794858e-13,yes
#4,nr_distinct_files_viewed,0.03167429216331101,0.2572941656752074,no
#4,total_course_activities,0.02168245678300609,0.003975709304134512,yes
#4,nightly_activities,-0.0034159378019586037,0.4459019685814508,no
#4,distinct_days,-0.11792773250384354,0.009107264425686476,yes
#4,logged_in_weekly,0.134174683338655,0.7610931660302751,no
#4,nr_files_viewed,-0.07258670015561008,0.029446028347027958,yes
